Name,Ethnicity
Akooshay,Germanic
Melanie,English-Speaking
Williams,Southern and Western Slavic
Jericho,English-Speaking
Bashira,Germanic
Helena,Germanic
Whitlock,East Asian
Mars,English-Speaking
Michael,Romance
Uno,English-Speaking
Tres,English-Speaking
Zimmerman,Germanic
Benchley,English-Speaking
Rodale,Hispanic
Robert,Germanic
John,Germanic
Patsy,English-Speaking
Ramsey,Romance
Morgana,English-Speaking
Alexander,English-Speaking
Rebecca,English-Speaking
Nina,Germanic
Catherine,English-Speaking
Thomas,English-Speaking
Falstaff,Germanic
Nell,Romance
Henry,Romance
Robin,English-Speaking
Banks,English-Speaking
George,English-Speaking
Bert,English-Speaking
Poppins,English-Speaking
Dawes,English-Speaking
Albert,Germanic
Ellen,Germanic
Winifred,Romance
Katie,Eastern Slavic
Overstreet,Germanic
Joe,English-Speaking
Sandii,English-Speaking
Rosa,English-Speaking
Fox,English-Speaking
Mustapha,English-Speaking
Nikolai,Eastern Slavic
Tomka,English-Speaking
Vasha,English-Speaking
Rebrov,Germanic
Rebrova,Germanic
Maria,English-Speaking
Elizabeth,Germanic
Isobel,Eastern Slavic
Judy,English-Speaking
Wrightson,Germanic
Reidy,English-Speaking
Colin,English-Speaking
Reg,English-Speaking
Yvette,English-Speaking
Jody,English-Speaking
Chris,English-Speaking
Sheryl,Romance
Daniels,Germanic
Winston,Southern and Western Slavic
Sneed,English-Speaking
Rachel,Romance
Sharika,English-Speaking
Melvin,English-Speaking
Juanita,English-Speaking
Herron,Germanic
Sweetpea,Romance
Lucy,English-Speaking
Tony,Germanic
Pandora,Romance
Rodney,English-Speaking
Roger,East Asian
Patrice,English-Speaking
Kim,Romance
Havaldar,Romance
Bindiya,English-Speaking
Radha,English-Speaking
Shyam,English-Speaking
Rahim,English-Speaking
Vijay,English-Speaking
Shalini,English-Speaking
Daulatram,Germanic
Kumar,Romance
Rakesh,English-Speaking
Ranjeet,English-Speaking
Unnikrishnan,Germanic
Cristopher,Romance
Phillip,English-Speaking
Keefe,English-Speaking
Andrea,English-Speaking
Vickers,Southern and Western Slavic
Leon,Germanic
Pramila,Romance
Peters,English-Speaking
Gatha,English-Speaking
Sathyabhama,English-Speaking
Ouyang,Southern and Western Slavic
Huang,Germanic
Nianci,Southern and Western Slavic
Guo,English-Speaking
Guy,English-Speaking
Montgomery,English-Speaking
Claude,Romance
Lawrence,Southern and Western Slavic
Rose,English-Speaking
Batuta,English-Speaking
Beto,English-Speaking
Tato,Germanic
Elvira,Southern and Western Slavic
Toña,Germanic
Mena,English-Speaking
Jorge,Germanic
Maya,English-Speaking
Kathleen,English-Speaking
Sandie,English-Speaking
Emme,Germanic
Allison,English-Speaking
Avinash,English-Speaking
Satish,English-Speaking
Danny,English-Speaking
Safarah,Romance
Peersall,Romance
Justin,Eastern Slavic
Angie,English-Speaking
Bruckner,English-Speaking
Bodek,Germanic
Diane,Germanic
Gordon,English-Speaking
Jory,English-Speaking
Alex,English-Speaking
Kyoko,English-Speaking
Joyce,English-Speaking
Monica,English-Speaking
Sal,Romance
Reed,English-Speaking
Jack,Southern and Western Slavic
Rai,English-Speaking
Carlotta,English-Speaking
Victoria,English-Speaking
Nicky,Germanic
Ciro,Germanic
Geppa,English-Speaking
Nonna,Germanic
Iris,Germanic
Luc,Germanic
Rollo,Germanic
Forsythe,English-Speaking
Nicholas,Germanic
Janine,English-Speaking
Betts,Germanic
Merrick,English-Speaking
Guilbault,English-Speaking
Kresimer,Romance
Sviben,English-Speaking
Emil,Romance
Seema,English-Speaking
Raghu,English-Speaking
Manjit,Romance
Aditya,English-Speaking
Susan,English-Speaking
Philip,English-Speaking
Ashok,English-Speaking
Maurice,English-Speaking
Pat,English-Speaking
Quinlan,Germanic
Marie,English-Speaking
