,Name,Ethnicity
185,Marie,Germanic
186,Ethel,Southern and Western Slavic
191,Kingsley,Romance
192,Vlachos,English-Speaking
193,Ebow,Germanic
194,Arun,English-Speaking
195,Reshma,English-Speaking
196,Shaheen,English-Speaking
197,Ishak,English-Speaking
198,Zakaria,English-Speaking
199,Ruksar,Romance
200,Julia,English-Speaking
201,Adrian,Germanic
202,Piotr,English-Speaking
203,Jerzy,Germanic
204,Barbara,English-Speaking
205,Kaska,English-Speaking
206,Tomek,Romance
207,Malgoska,English-Speaking
208,Krzysiek,English-Speaking
209,Welles,Southern and Western Slavic
210,Nathalie,English-Speaking
211,Michel,English-Speaking
212,Wai,Southern and Western Slavic
213,Johnny,Romance
214,Kenny,Eastern Slavic
215,Eli,English-Speaking
216,Olivia,Germanic
217,Anna,English-Speaking
218,Lakshman,Germanic
219,Rekha,English-Speaking
220,Julie,Southern and Western Slavic
221,Ram,English-Speaking
223,David,English-Speaking
224,Vanessa,English-Speaking
225,Oliver,Germanic
226,Alastair,Germanic
228,Jim,Germanic
229,Orrin,Germanic
230,Buck,English-Speaking
231,Preston,English-Speaking
232,Sells,Germanic
233,Max,English-Speaking
234,Holland,Southern and Western Slavic
235,Allie,English-Speaking
236,Trost,English-Speaking
237,Kerr,Romance
238,King,Eastern Slavic
239,Tommy,English-Speaking
240,Jess,Germanic
241,Nancy,Romance
242,Radak,English-Speaking
243,Vic,English-Speaking
244,Arthur,Germanic
245,Bowers,English-Speaking
246,Jay,Southern and Western Slavic
247,Helen,English-Speaking
248,Marian,Germanic
249,Woodley,Southern and Western Slavic
250,Ruth,English-Speaking
251,Darby,English-Speaking
253,Gertrude,Germanic
254,Noel,English-Speaking
255,Madge,English-Speaking
256,Tito,English-Speaking
259,Meechum,English-Speaking
260,Burke,English-Speaking
261,Carmen,Germanic
262,Debra,English-Speaking
263,Amalia,English-Speaking
264,Mario,Germanic
265,Principe,English-Speaking
266,Masetti,English-Speaking
267,Valeria,English-Speaking
268,Vincenzino,English-Speaking
269,Isolina,Southern and Western Slavic
270,Quirino,Southern and Western Slavic
271,Enza,English-Speaking
274,Tosnia,Germanic
275,Dagney,English-Speaking
276,Lucinda,Southern and Western Slavic
278,Priya,English-Speaking
279,Amal,English-Speaking
280,Deva,English-Speaking
281,Scientologist,Southern and Western Slavic
282,Scientology,Eastern Slavic
285,Micah,English-Speaking
289,Cara,English-Speaking
290,Renee,Germanic
291,Teenager,Germanic
292,Amy,English-Speaking
293,Laguna,Germanic
294,Forndexter,Germanic
295,Sharda,Germanic
296,Rajendra,English-Speaking
297,Swati,English-Speaking
298,Anandi,English-Speaking
299,Kamdev,English-Speaking
300,Harvey,English-Speaking
301,Hemingway,Romance
302,Suzan,English-Speaking
303,Fielding,Southern and Western Slavic
304,Ismay,Eastern Slavic
305,Renton,Germanic
307,Elissa,English-Speaking
308,Corcoran,English-Speaking
310,Lauren,English-Speaking
311,Francine,English-Speaking
312,Hays,English-Speaking
314,Sanderson,English-Speaking
315,Crespi,English-Speaking
316,Shepherd,English-Speaking
317,Murphy,English-Speaking
318,Flora,English-Speaking
319,William,English-Speaking
321,Dove,Germanic
322,Ida,Germanic
323,Rhinehole,Romance
324,Druple,English-Speaking
325,Ritz,English-Speaking
326,Mammarosa,Germanic
328,Fanny,English-Speaking
329,Juan,Germanic
330,Lou,English-Speaking
331,Gus,English-Speaking
332,Stokes,English-Speaking
333,Severed,Southern and Western Slavic
334,Bygbutts,English-Speaking
335,Peter,English-Speaking
336,Billy,English-Speaking
337,Art,English-Speaking
338,Chubb,Germanic
339,Hammond,English-Speaking
342,Cathy,English-Speaking
343,Ronnie,Germanic
344,Charlie,English-Speaking
345,Nick,English-Speaking
346,Jacobson,Germanic
347,Charles,English-Speaking
348,Audrey,English-Speaking
349,Shepard,Germanic
350,Stanley,English-Speaking
351,Hal,Germanic
352,Mathis,English-Speaking
353,Killbourne,Eastern Slavic
354,Kevin,English-Speaking
355,Pepe,English-Speaking
356,Phyllis,English-Speaking
357,Arnold,English-Speaking
358,Madison,English-Speaking
359,Doug,English-Speaking
360,Sunshine,English-Speaking
361,Hedden,English-Speaking
364,Riddaway,Romance
365,Norman,English-Speaking
366,Niles,Southern and Western Slavic
369,Janice,Romance
370,Tom,English-Speaking
372,Ali,English-Speaking
373,Mathieu,English-Speaking
374,Djafar,English-Speaking
375,Halima,English-Speaking
376,Omar,Southern and Western Slavic
377,Fathia,English-Speaking
378,Minnu,English-Speaking
379,Antony,English-Speaking
380,Lakshmi,English-Speaking
381,Josh,Germanic
382,Masakazu,English-Speaking
383,Akiko,English-Speaking
384,Rikuo,English-Speaking
385,Nagi,English-Speaking
386,Sammy,English-Speaking
387,Peggy,English-Speaking
388,Otieno,Germanic
389,Sharma,English-Speaking
390,Vishnu,Germanic
391,Mikki,English-Speaking
392,Toni,English-Speaking
393,Ji,English-Speaking
394,Choi,English-Speaking
395,Rizzo,English-Speaking
396,Olsson,Germanic
397,Kenickie,Eastern Slavic
398,Frenchy,English-Speaking
399,Marty,English-Speaking
400,Jan,Germanic
401,Putzie,English-Speaking
402,Vi,English-Speaking
404,Stephanie,English-Speaking
406,Sonny,English-Speaking
407,Angel,English-Speaking
408,Mike,English-Speaking
409,Paul,English-Speaking
410,James,Germanic
411,Briana,English-Speaking
412,Chicago,English-Speaking
413,Paige,English-Speaking
414,Luke,English-Speaking
415,Rosemary,English-Speaking
416,Simon,English-Speaking
417,Camille,English-Speaking
418,Indes,Germanic
419,Professeur,English-Speaking
420,Japonais,Southern and Western Slavic
421,Bébel,English-Speaking
422,Cinéma,English-Speaking
423,Hollywood,Southern and Western Slavic
425,La,English-Speaking
429,Stephen,Eastern Slavic
431,Marjorie,English-Speaking
432,Emily,English-Speaking
433,Whittaker,Southern and Western Slavic
434,Effie,English-Speaking
435,Sarten,English-Speaking
436,Harry,English-Speaking
437,Ambrose,English-Speaking
439,Raven,Germanic
442,Estrell,English-Speaking
445,Pernelius,English-Speaking
446,Claudine,English-Speaking
449,Austen,Germanic
453,Gresham,English-Speaking
454,Cassandra,English-Speaking
455,Eliza,English-Speaking
456,Wisley,Southern and Western Slavic
457,Langlois,English-Speaking
460,Lefroy,Southern and Western Slavic
464,Bonnie,English-Speaking
466,Thad,English-Speaking
467,Pangborn,Germanic
468,Sivakumar,English-Speaking
469,Prasad,English-Speaking
470,Sabina,English-Speaking
471,Doris,Germanic
473,Hayes,English-Speaking
474,Tex,Germanic
475,Rifki,English-Speaking
476,Hamidou,Romance
477,Erich,Germanic
480,Yesil,Eastern Slavic
482,Jimmy,Romance
483,Anne,English-Speaking
484,Jonathan,Germanic
485,Janaki,English-Speaking
486,Jeeva,Germanic
487,Divya,English-Speaking
488,Prithvi,English-Speaking
489,Dhandabani,English-Speaking
491,Savithri,Germanic
493,Mark,English-Speaking
496,Meera,Germanic
497,Banhe,English-Speaking
498,Shivcharan,English-Speaking
499,Lu,English-Speaking
500,Jason,English-Speaking
501,Warlord,Eastern Slavic
502,Lupo,English-Speaking
503,Southie,English-Speaking
505,Broadbeck,English-Speaking
506,Charley,English-Speaking
507,Frisbie,English-Speaking
508,Butler,Germanic
509,Hakki,English-Speaking
510,Kenan,Eastern Slavic
512,Kadin,English-Speaking
513,Nurgül,Germanic
514,Artun,English-Speaking
515,Nevra,English-Speaking
516,Cengiz,English-Speaking
517,Huseyin,Southern and Western Slavic
518,Kemalettin,Eastern Slavic
519,Operations,Germanic
520,Erol,Romance
521,Kerem,English-Speaking
522,Ibrahim,Germanic
523,Mustafa,English-Speaking
524,Tavsancik,Southern and Western Slavic
525,Konuk,Eastern Slavic
526,Otis,Germanic
527,Lex,Germanic
528,Zod,English-Speaking
529,Olsen,Germanic
531,Lois,Germanic
532,Lara,Southern and Western Slavic
533,Martha,English-Speaking
534,Teschmacher,English-Speaking
535,Ursa,English-Speaking
536,Clark,English-Speaking
537,Perry,English-Speaking
539,Leo,English-Speaking
540,Lenny,Southern and Western Slavic
541,Kitjo,English-Speaking
542,Lea,English-Speaking
544,Brahmacharya,English-Speaking
545,Marcos,English-Speaking
546,Roderick,Southern and Western Slavic
547,Wells,Southern and Western Slavic
548,Calahari,Germanic
549,Berenice,English-Speaking
550,Annabelle,English-Speaking
551,Ernest,English-Speaking
552,Beulah,English-Speaking
553,Igor,Germanic
554,Lenore,English-Speaking
555,Madeline,English-Speaking
556,Mary,English-Speaking
557,Smith,English-Speaking
558,Allan,English-Speaking
560,Geetha,English-Speaking
561,Jose,Southern and Western Slavic
562,Aggie,English-Speaking
563,Taylor,East Asian
564,Fred,English-Speaking
565,Greg,English-Speaking
566,Hunter,Germanic
568,Dave,Germanic
570,Sandy,English-Speaking
571,Beth,English-Speaking
572,Randy,English-Speaking
573,Bill,English-Speaking
577,Adrianne,English-Speaking
578,Elmira,Germanic
579,Pete,English-Speaking
580,Marge,English-Speaking
582,Moira,Germanic
583,Billie,English-Speaking
584,Gibbs,English-Speaking
586,Richard,English-Speaking
587,Jacqueline,Germanic
588,Ajooba,English-Speaking
589,Hassan,Southern and Western Slavic
590,Rukhsana,English-Speaking
591,Shehzadi,English-Speaking
592,Shahrukh,English-Speaking
593,Zarina,English-Speaking
594,Bahristan,English-Speaking
595,Karan,English-Speaking
597,Daniel,English-Speaking
598,Lilly,English-Speaking
599,Petra,English-Speaking
600,Émilien,Germanic
601,Commissaire,Romance
602,Alain,English-Speaking
603,Barrie,English-Speaking
604,Alexandra,English-Speaking
606,Ed,English-Speaking
607,Suzanne,English-Speaking
608,Andre,English-Speaking
609,Wyatt,English-Speaking
611,Purcell,Germanic
612,Sargie,English-Speaking
613,Hansen,English-Speaking
614,Neiderman,Romance
615,Featherstone,Germanic
616,Jarvis,Germanic
617,Wally,English-Speaking
619,Eileen,English-Speaking
621,Bamford,English-Speaking
622,Sweeney,English-Speaking
623,Lovett,English-Speaking
624,Turpin,English-Speaking
625,Adolfo,English-Speaking
626,Johanna,English-Speaking
627,Anthony,English-Speaking
628,Tobias,English-Speaking
629,Fogg,English-Speaking
631,Todd,English-Speaking
632,Gafoor,English-Speaking
634,Moe,English-Speaking
636,Hetty,Germanic
637,Rollie,Romance
638,Sennett,Germanic
639,Mildred,Germanic
640,Joseph,Germanic
643,Mabel,English-Speaking
644,Paulette,English-Speaking
645,Hannah,English-Speaking
646,Edna,Germanic
647,Bertha,English-Speaking
648,Terrance,English-Speaking
649,Davis,Germanic
652,Danielle,Germanic
653,Tonya,English-Speaking
655,Ann,English-Speaking
656,Baxter,English-Speaking
657,Kedar,Eastern Slavic
658,Yadav,Germanic
659,Aman,English-Speaking
660,Kate,English-Speaking
661,Simone,English-Speaking
662,Aunty,English-Speaking
663,Anoop,Germanic
664,Rani,English-Speaking
667,Aubrey,Germanic
668,Bertie,English-Speaking
670,Bendowski,English-Speaking
671,Coberly,English-Speaking
672,Punker,Romance
673,Binns,English-Speaking
674,Lyranna,Southern and Western Slavic
675,Melwyn,English-Speaking
676,Jackie,Southern and Western Slavic
677,Starr,English-Speaking
678,Dorothy,English-Speaking
679,Shubunka,English-Speaking
680,Jammey,Romance
681,Medford,English-Speaking
684,Elliot,Eastern Slavic
685,Johnson,Germanic
686,Malvina,English-Speaking
687,Lyle,English-Speaking
688,Fredrik,Germanic
689,Åkerblom,Southern and Western Slavic
690,Thibault,English-Speaking
691,Osvald,English-Speaking
692,Karin,English-Speaking
693,Petrus,English-Speaking
695,Märta,English-Speaking
696,Rigmor,Germanic
697,Vogler,English-Speaking
698,Johan,Germanic
699,Mia,English-Speaking
700,Berglund,English-Speaking
701,Stefan,English-Speaking
703,Algot,English-Speaking
704,Apelblad,English-Speaking
705,Stella,English-Speaking
706,Clint,English-Speaking
707,Karmin,Eastern Slavic
708,Annie,English-Speaking
709,Morrell,English-Speaking
710,Douglas,English-Speaking
712,Linda,Germanic
714,Scott,Germanic
715,Princeton,English-Speaking
716,Tim,English-Speaking
717,Andy,English-Speaking
718,Romeo,Germanic
719,Calder,English-Speaking
722,Derrick,Germanic
724,Mahendra,English-Speaking
725,Ramdas,English-Speaking
726,Sheela,English-Speaking
728,Chatterjee,English-Speaking
729,Miguel,English-Speaking
730,Cláudio,English-Speaking
731,Leonor,English-Speaking
733,Pedro,English-Speaking
734,Susanne,English-Speaking
735,Ulrikka,English-Speaking
736,Christer,English-Speaking
737,Inger,Germanic
738,Eleonora,Germanic
739,Willy,English-Speaking
740,Alice,English-Speaking
741,Ocampo,Germanic
742,Matt,English-Speaking
743,Parks,Germanic
745,Kaplan,Eastern Slavic
746,Lisa,Germanic
747,Red,English-Speaking
748,Amdar,English-Speaking
749,Khalid,Southern and Western Slavic
750,Sheherazade,English-Speaking
751,Sinbad,Germanic
752,Neela,English-Speaking
753,Zafir,English-Speaking
754,Aladdin,Southern and Western Slavic
755,Raudah,English-Speaking
756,Jammal,Hispanic
758,Tracy,English-Speaking
760,Susamma,English-Speaking
762,Marianne,Germanic
763,Paula,English-Speaking
765,Jerome,Germanic
767,Fontana,Germanic
769,Peterson,English-Speaking
770,Ibarra,Germanic
772,Rukmini,English-Speaking
773,Edwina,English-Speaking
774,Barnaby,Germanic
776,Ellie,English-Speaking
777,Claire,Germanic
778,Hudson,Germanic
780,Draculina,English-Speaking
782,Rosie,English-Speaking
783,Adam,English-Speaking
784,Izzie,English-Speaking
785,Brianna,English-Speaking
786,Nathan,Southern and Western Slavic
787,Jeannie,Southern and Western Slavic
790,Winkler,Southern and Western Slavic
791,Gajendra,English-Speaking
792,Shanta,English-Speaking
793,Anjana,English-Speaking
795,Cafe,English-Speaking
796,Thaddeus,Romance
798,Françoise,English-Speaking
799,Harriet,English-Speaking
801,Vernon,English-Speaking
806,Mathilda,English-Speaking
808,Roth,English-Speaking
809,Belosi,Romance
811,Drummond,English-Speaking
813,Andrzej,English-Speaking
814,Krystyna,Eastern Slavic
816,Daffy,English-Speaking
817,Wanda,English-Speaking
818,Orloff,Germanic
819,Arne,English-Speaking
820,Dany,English-Speaking
821,Morpho,English-Speaking
822,Irma,Southern and Western Slavic
823,Rousseau,English-Speaking
824,Jeannot,Romance
825,Klemp,English-Speaking
827,Tanner,Romance
828,Farmacéutica,Germanic
829,Marcela,English-Speaking
830,Amador,English-Speaking
831,Yolanda,English-Speaking
832,Vendedor,Germanic
833,Puri,English-Speaking
834,Samuel,English-Speaking
836,Cura,English-Speaking
837,Vecino,Germanic
838,Nelson,Eastern Slavic
840,Darren,English-Speaking
843,Clifford,English-Speaking
844,Brenda,English-Speaking
845,Shamie,English-Speaking
847,Garda,English-Speaking
848,Blaise,Romance
849,Victor,Germanic
851,Dona,Germanic
852,Araújo,Southern and Western Slavic
853,Ojuara,Romance
854,Mãe,English-Speaking
855,Dualiba,English-Speaking
856,Genifer,English-Speaking
857,Tabacão,Germanic
858,Pretinho,English-Speaking
860,Coronel,English-Speaking
861,Pacheco,English-Speaking
862,Preto,English-Speaking
863,Sue,English-Speaking
864,Sethu,English-Speaking
865,Achudhandan,Germanic
866,Chellapaandi,English-Speaking
867,Chloe,English-Speaking
868,Eisenberg,Germanic
869,Rachna,English-Speaking
870,Neha,English-Speaking
871,Kamlakar,East Asian
872,Rahul,Romance
873,Sandhya,English-Speaking
875,Belu,English-Speaking
877,Kamla,Eastern Slavic
878,Bhola,English-Speaking
879,Kishan,Eastern Slavic
880,Nisha,English-Speaking
881,Kishans,Germanic
882,Rivka,English-Speaking
883,Meïr,English-Speaking
884,Malka,English-Speaking
885,Yossef,Germanic
886,Rav,Germanic
887,Elisheva,English-Speaking
888,Yaakov,Germanic
889,Shmouel,Romance
890,Lexa,Germanic
891,Phil,English-Speaking
892,Rommel,Romance
893,Kurt,Germanic
894,Heinz,Eastern Slavic
895,Miles,English-Speaking
897,Denise,English-Speaking
899,Phillips,English-Speaking
900,Howard,English-Speaking
901,Joel,Southern and Western Slavic
903,Jones,Germanic
904,Cheryl,Germanic
906,Kelly,Eastern Slavic
907,Dagmar,Southern and Western Slavic
909,Louis,Germanic
910,Fifi,English-Speaking
911,Donaliff,English-Speaking
912,Florine,Germanic
913,Duryea,Southern and Western Slavic
915,Cesare,English-Speaking
917,Seinfeld,English-Speaking
918,Kessler,Eastern Slavic
920,Namaroff,Germanic
921,Karl,Eastern Slavic
922,Gorgon,Germanic
923,Jolene,Germanic
924,Jesse,English-Speaking
925,Sigismond,Southern and Western Slavic
927,Hugh,Germanic
929,Allingham,English-Speaking
930,Conrad,English-Speaking
931,Duc,Germanic
932,Albertine,English-Speaking
933,Nanny,English-Speaking
936,Jacob,Southern and Western Slavic
937,Carissa,English-Speaking
938,Fredericks,Germanic
940,States,Germanic
943,Freddy,English-Speaking
945,Tanya,English-Speaking
946,Bruno,English-Speaking
948,Thommo,Germanic
951,Scarlet,Southern and Western Slavic
953,Allegra,English-Speaking
954,Gambrelli,English-Speaking
955,Dreyfus,Germanic
956,Clouseau,English-Speaking
957,Ballon,English-Speaking
958,Cato,English-Speaking
959,Hercule,Germanic
961,Dominique,English-Speaking
962,Sehgal,English-Speaking
963,Prabhakar,English-Speaking
964,Dandekar,Germanic
965,Balkrishan,English-Speaking
966,Shefali,English-Speaking
969,Desai,English-Speaking
971,Marcy,English-Speaking
973,Jonas,Germanic
978,Buford,Eastern Slavic
979,Dina,Germanic
981,Leslie,English-Speaking
984,Lloyd,English-Speaking
985,Ella,English-Speaking
987,Matthews,English-Speaking
988,Angelo,English-Speaking
989,Kaspian,Eastern Slavic
991,Sheila,English-Speaking
992,Casper,English-Speaking
994,Louganis,English-Speaking
996,Frances,Germanic
997,Ron,English-Speaking
999,Megan,English-Speaking
1000,Keith,Germanic
1003,Despina,English-Speaking
1008,Eva,English-Speaking
1009,Dilip,Germanic
1010,Motwani,English-Speaking
1011,Leela,English-Speaking
1012,Anderson,English-Speaking
1013,Choudhury,Hispanic
1014,Chandra,English-Speaking
1015,Roy,English-Speaking
1016,Sardar,English-Speaking
1017,Roma,English-Speaking
1018,Sumitra,English-Speaking
1019,Kapoor,Romance
1020,Sunny,English-Speaking
1022,Cheri,English-Speaking
1023,Maggie,English-Speaking
1024,Virumaayi,English-Speaking
1025,Maayaandi,Germanic
1027,Carlton,English-Speaking
1029,Marlowe,English-Speaking
1033,Blanche,English-Speaking
1036,Manwaring,English-Speaking
1037,Arbuthnot,East Asian
1039,Bob,English-Speaking
1040,Clarence,Germanic
1041,Bouchard,English-Speaking
1042,Tina,English-Speaking
1044,Winters,Germanic
1045,Haley,Germanic
1046,Darnell,Southern and Western Slavic
1047,Louanne,English-Speaking
1053,Biker,Germanic
1058,Jane,Southern and Western Slavic
1060,Parker,English-Speaking
1061,Mullin,English-Speaking
1062,Norton,Germanic
1063,Francis,Germanic
1064,Judith,English-Speaking
1066,Jérémie,Southern and Western Slavic
1067,Vicky,English-Speaking
1068,Alvise,English-Speaking
1069,Mathilde,English-Speaking
1073,Ami,English-Speaking
1077,Penny,English-Speaking
1078,Bárbara,Germanic
1079,Vince,English-Speaking
1080,Popchik,Romance
1081,Vinu,English-Speaking
1083,Russell,Romance
1085,Maisy,English-Speaking
1086,Truman,English-Speaking
1087,Freddie,English-Speaking
1088,Jizminder,English-Speaking
1090,Fields,Germanic
1091,Chip,Romance
1092,Madhumitha,Germanic
1093,Kalyani,Germanic
1094,Isa,Germanic
1095,Ashokan,English-Speaking
1096,Kalidas,Eastern Slavic
1098,Roopa,Germanic
1099,Kalluram,Eastern Slavic
1100,Udharchand,English-Speaking
1102,Mishrain,English-Speaking
1103,Bawarchan,English-Speaking
1104,Kanhaiya,Eastern Slavic
1105,Raju,English-Speaking
1106,Munnu,English-Speaking
1107,Hari,English-Speaking
1109,Rita,English-Speaking
1110,Shiva,English-Speaking
1112,Dinesh,Germanic
1117,Shadow,English-Speaking
1121,Pembroke,English-Speaking
1124,Mangayya,English-Speaking
1125,Ganesh,English-Speaking
1126,Keerthi,Germanic
1127,Trotsky,English-Speaking
1128,Marilyn,English-Speaking
1129,Dougherty,English-Speaking
1130,Wilbur,Southern and Western Slavic
1132,Frankenstein,Germanic
1133,Anchorman,Germanic
1134,Handyman,English-Speaking
1135,Lutetia,Southern and Western Slavic
1136,Sylvester,English-Speaking
1138,Goldie,English-Speaking
1139,Rajpal,Romance
1140,Shanno,English-Speaking
1141,Suraj,English-Speaking
1142,Ratan,English-Speaking
1143,Ned,English-Speaking
1145,Betterton,English-Speaking
1146,Frayne,English-Speaking
1149,Darryl,English-Speaking
1151,Mayil,English-Speaking
1152,Anjali,English-Speaking
1153,Mokkai,English-Speaking
1154,Sakthivel,English-Speaking
1155,Mayilvahanam,English-Speaking
1158,Polly,English-Speaking
1159,Hemings,Germanic
1160,Cosway,English-Speaking
1163,Sarah,English-Speaking
1165,Joost,English-Speaking
1168,Ishmael,Southern and Western Slavic
1169,Santiago,English-Speaking
1171,Jean,Germanic
1172,Ramesh,English-Speaking
1173,Madhav,English-Speaking
1174,Keshav,English-Speaking
1175,Kiran,English-Speaking
1176,Mangu,English-Speaking
1177,Saxena,English-Speaking
1178,Goverdhan,English-Speaking
1179,Nonu,English-Speaking
1180,Bagga,English-Speaking
1181,Bantu,English-Speaking
1182,Dolly,English-Speaking
1183,Mala,English-Speaking
1184,Margaret,English-Speaking
1185,Denis,Germanic
1186,Susie,English-Speaking
1187,Alfred,English-Speaking
1189,Muriel,English-Speaking
1190,Beatrice,English-Speaking
1193,June,Southern and Western Slavic
1194,Carol,Germanic
1195,Karib,English-Speaking
1196,Kamal,Eastern Slavic
1198,Nellie,Germanic
1199,Logan,English-Speaking
1200,Lumsden,English-Speaking
1201,Nannie,Germanic
1202,Perce,English-Speaking
1203,Kennedy,English-Speaking
1204,Baines,English-Speaking
1205,Cris,English-Speaking
1206,Callie,English-Speaking
1207,Irv,Germanic
1209,Cavanaugh,English-Speaking
1210,Kendall,Romance
1211,Liz,Germanic
1212,Roybal,Germanic
1214,Gajodhar,Germanic
1215,Dhillon,English-Speaking
1217,Paramveer,Southern and Western Slavic
1218,Gurmeet,English-Speaking
1219,Dharam,Germanic
1220,Tejpal,Romance
1221,Poli,English-Speaking
1222,Joginder,Southern and Western Slavic
1223,Tejinder,Romance
1224,Binda,English-Speaking
1225,Saheba,English-Speaking
1226,London,English-Speaking
1227,Susima,English-Speaking
1228,Devi,English-Speaking
1229,Bindusara,English-Speaking
1230,Chadragupta,English-Speaking
1231,Aryan,English-Speaking
1232,Kaurwaki,Eastern Slavic
1233,Keene,Eastern Slavic
1234,Carden,Germanic
1235,Sara,Germanic
1236,Rubin,Germanic
1238,Cahill,Nordic
1239,Christine,English-Speaking
1240,Alec,English-Speaking
1242,Gil,English-Speaking
1243,Kotwalu,Romance
1244,Bugs,English-Speaking
1245,Eusabios,Romance
1246,Perseus,Germanic
1247,Zeus,English-Speaking
1248,Hades,English-Speaking
1249,Calibos,English-Speaking
1250,Acrisius,English-Speaking
1251,Andromeda,English-Speaking
1252,Danaë,Southern and Western Slavic
1253,Draco,English-Speaking
1254,Apollo,English-Speaking
1255,Athena,English-Speaking
1256,Ixas,Germanic
1257,Ozal,Germanic
1258,Kucuk,English-Speaking
1259,Sheikh,English-Speaking
1260,Spyros,English-Speaking
1261,Ares,English-Speaking
1262,Kepheus,Romance
1263,Peshet,English-Speaking
1264,Marmara,English-Speaking
