,Name,Ethnicity
0,Akooshay,English-Speaking
1,Melanie,Germanic
2,Williams,Germanic
3,Jericho,Germanic
4,Bashira,English-Speaking
5,Helena,English-Speaking
6,Whitlock,Southern and Western Slavic
7,Mars,English-Speaking
8,Michael,English-Speaking
9,Uno,Eastern Slavic
10,Tres,English-Speaking
11,Zimmerman,English-Speaking
12,Benchley,English-Speaking
13,Rodale,English-Speaking
14,Robert,English-Speaking
15,John,Germanic
16,Patsy,Germanic
17,Ramsey,Germanic
18,Morgana,English-Speaking
19,Alexander,English-Speaking
20,Rebecca,English-Speaking
21,Nina,English-Speaking
22,Catherine,English-Speaking
23,Thomas,Romance
24,Falstaff,Germanic
25,Nell,English-Speaking
26,Henry,Germanic
27,Robin,Germanic
28,Banks,English-Speaking
29,George,English-Speaking
30,Bert,English-Speaking
31,Poppins,Germanic
32,Dawes,English-Speaking
33,Albert,English-Speaking
34,Ellen,English-Speaking
35,Winifred,Southern and Western Slavic
36,Katie,English-Speaking
38,Overstreet,Eastern Slavic
39,Joe,Romance
40,Sandii,English-Speaking
41,Rosa,English-Speaking
42,Fox,English-Speaking
43,Mustapha,English-Speaking
44,Nikolai,Eastern Slavic
45,Tomka,English-Speaking
46,Vasha,English-Speaking
47,Rebrov,Germanic
48,Rebrova,English-Speaking
50,Maria,Germanic
51,Elizabeth,Germanic
52,Isobel,Eastern Slavic
53,Judy,Germanic
55,Wrightson,Germanic
56,Reidy,English-Speaking
57,Colin,English-Speaking
58,Reg,English-Speaking
59,Yvette,Germanic
60,Jody,Germanic
61,Chris,English-Speaking
62,Sheryl,Romance
63,Daniels,English-Speaking
64,Winston,Germanic
65,Sneed,English-Speaking
66,Rachel,Romance
67,Sharika,English-Speaking
68,Melvin,English-Speaking
69,Juanita,Hispanic
70,Herron,Southern and Western Slavic
71,Sweetpea,English-Speaking
72,Lucy,English-Speaking
73,Tony,English-Speaking
74,Pandora,Romance
75,Rodney,English-Speaking
76,Roger,Romance
77,Patrice,English-Speaking
80,Kim,Eastern Slavic
81,Havaldar,English-Speaking
82,Bindiya,English-Speaking
83,Radha,English-Speaking
85,Shyam,English-Speaking
86,Rahim,English-Speaking
87,Vijay,English-Speaking
88,Shalini,Romance
89,Daulatram,Germanic
90,Kumar,Southern and Western Slavic
91,Rakesh,English-Speaking
92,Ranjeet,English-Speaking
93,Unnikrishnan,Eastern Slavic
94,Cristopher,English-Speaking
95,Phillip,English-Speaking
96,Keefe,English-Speaking
97,Andrea,English-Speaking
98,Vickers,Germanic
99,Leon,English-Speaking
100,Pramila,English-Speaking
103,Peters,English-Speaking
104,Gatha,English-Speaking
105,Sathyabhama,Romance
106,Ouyang,Germanic
107,Huang,Eastern Slavic
109,Nianci,Germanic
110,Guo,Germanic
113,Guy,Eastern Slavic
114,Montgomery,English-Speaking
115,Claude,English-Speaking
117,Lawrence,Southern and Western Slavic
119,Rose,English-Speaking
120,Batuta,English-Speaking
121,Beto,English-Speaking
122,Tato,English-Speaking
123,Elvira,English-Speaking
124,Toña,Romance
125,Mena,Germanic
126,Jorge,Germanic
127,Maya,English-Speaking
128,Kathleen,English-Speaking
129,Sandie,English-Speaking
130,Emme,English-Speaking
131,Allison,English-Speaking
132,Avinash,Germanic
133,Satish,Romance
134,Danny,English-Speaking
135,Safarah,English-Speaking
136,Peersall,Germanic
137,Justin,Germanic
138,Angie,English-Speaking
139,Bruckner,English-Speaking
140,Bodek,English-Speaking
141,Diane,Germanic
143,Gordon,Germanic
144,Jory,English-Speaking
145,Alex,English-Speaking
146,Kyoko,Eastern Slavic
147,Joyce,Southern and Western Slavic
149,Monica,English-Speaking
150,Sal,English-Speaking
152,Reed,English-Speaking
153,Jack,Southern and Western Slavic
154,Rai,English-Speaking
156,Carlotta,English-Speaking
157,Victoria,English-Speaking
158,Nicky,English-Speaking
159,Ciro,English-Speaking
160,Geppa,Germanic
161,Nonna,English-Speaking
162,Iris,English-Speaking
163,Luc,English-Speaking
164,Rollo,Romance
165,Forsythe,English-Speaking
166,Nicholas,English-Speaking
167,Janine,Romance
168,Betts,English-Speaking
169,Merrick,English-Speaking
170,Guilbault,English-Speaking
172,Kresimer,Southern and Western Slavic
173,Sviben,Eastern Slavic
174,Emil,Germanic
175,Seema,English-Speaking
176,Raghu,English-Speaking
177,Manjit,English-Speaking
178,Aditya,English-Speaking
179,Susan,English-Speaking
180,Philip,English-Speaking
181,Ashok,English-Speaking
182,Maurice,English-Speaking
183,Pat,English-Speaking
184,Quinlan,English-Speaking
